customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8364-EWZTQ,Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.44,1634.99,No
5947-PLBXY,Male,1,Yes,No,30,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,71.77,2158.83,Yes
3663-ONFIA,Female,1,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.47,266.4,No
7213-QMVJJ,Female,0,Yes,No,32,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.77,2554.16,Yes
7182-FYFPY,Male,0,No,No,37,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,86.99,3214.63,Yes
4749-OTKIO,Female,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.18,1488.57,Yes
1449-KNHAA,Female,0,No,No,36,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),64.33,2303.4,No
9877-ZDRLF,Female,1,No,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,652.4,No
6183-BSJMS,Male,0,Yes,No,12,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,68.07,808.06,Yes
2532-KAMBD,Male,0,Yes,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.39,885.47,No
8976-XHUFT,Male,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.05,673.8,No
1175-RZVHY,Female,0,Yes,No,25,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.65,1870.81,Yes
5589-HEDJM,Female,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.35,621.87,No
